label,time_s,x_m,v_m_s,theta_rad,omega_rad_s
last,1.6600000000000001,-0.04698746768129629,-0.4044108408904908,0.7254357992566632,13.392486487222357
last,1.67,-0.051127616887434744,-0.42361900033720734,0.8578498126182194,13.080202577181666
last,1.68,-0.05530814325746032,-0.41248627366789575,0.9863267515074534,12.609201948019106
last,1.69,-0.05934760188418449,-0.39540545167692837,1.1098439137541825,12.090332011298766
last,1.7,-0.06318381949642807,-0.3718380707717765,1.2279963098537474,11.538330183428512
last,1.71,-0.06686011908651586,-0.3634218472457749,1.3407136455657196,11.003093096488698
last,1.72,-0.0705734990122207,-0.3792541378951887,1.4481588847437044,10.482696915624265
last,1.73,-0.07450374850675033,-0.40679576101072895,1.5503423115496526,9.950729752816763
last,1.74,-0.07873767770594613,-0.4399900788284172,1.6471170052555244,9.401484111949697
last,1.75,-0.08331404246775254,-0.4752828735328552,1.7383210212216538,8.837370197337968
last,1.76,-0.08823866310228552,-0.5096412533737069,1.8238391375793976,8.265214765964709
last,1.77,-0.0934923889709647,-0.5411039203620812,1.9036340564560343,7.693636520722504
last,1.78,-0.09898976695689585,-0.5583716768241778,1.9778531570051534,7.151512799370098
last,1.79,-0.10462904066617,-0.5694830650306599,2.0467659581915565,6.633078488978875
last,1.8,-0.11028084351019449,-0.5608775037742514,2.110819156122556,6.180834298635803
last,1.81,-0.11577844692089245,-0.5386431783653158,2.1706499324976343,5.789287130579945
last,1.82,-0.12102638468980578,-0.5109443754173165,2.226771928590995,5.43926805571169
last,1.83,-0.12598393873832112,-0.48056643428572404,2.279564042881519,5.123327603487923
last,1.84,-0.130634595003557,-0.44956481876143106,2.3293323703827205,4.83442218831701
last,1.85,-0.1349733842701204,-0.41819303455122525,2.37634017134132,4.571112149220467
last,1.86,-0.1390092067035691,-0.38897145213850476,2.420789130656817,4.322462933221167
last,1.87,-0.1427740278457429,-0.36399277629621923,2.462774130631688,4.0780762093810425
last,1.8800000000000001,-0.14629405311713561,-0.34001227798231515,2.502398285793438,3.8501356083352642
last,1.8900000000000001,-0.14959016076119375,-0.3192092508292998,2.539771601047843,3.6277045596723188
last,1.9000000000000001,-0.15270379517488994,-0.303517631909927,2.574896532349545,3.400221246741259
last,1.9100000000000001,-0.15567938561275602,-0.29160045566328374,2.607744285489015,3.172059069636235
last,1.92,-0.15856642767644608,-0.2858079570747217,2.6382434339112,2.9302548748356503
last,1.93,-0.16145105717061337,-0.29111794175871236,2.6661258242719046,2.6483914192004527
last,1.94,-0.16438886577387715,-0.2964437788940273,2.691252410936606,2.378910241079726
last,1.95,-0.1673753460518694,-0.3008522767043914,2.713764914410826,2.1254000173699614
last,1.96,-0.1703549971157655,-0.29507793607481375,2.73405306172079,1.9339557612825382
last,1.97,-0.17325656835998232,-0.28523631276853884,2.7525811304762073,1.773272777888802
last,1.98,-0.1760551403699996,-0.2744780892349086,2.7695731523738703,1.626625717734313
last,1.99,-0.1787264522910964,-0.2597842949844198,2.7852444295881327,1.5090340062775283
last,2.0,-0.18124613643318624,-0.24415253343351562,2.7998054130069545,1.404475933072909
last,2.0100000000000002,-0.18361087000421564,-0.22879418077238348,2.8133521639014814,1.306098094035312
last,2.02,-0.18581947137786484,-0.21292609395750461,2.825964447333342,1.2175025158345654
last,2.0300000000000002,-0.18785870193337612,-0.1949200171447613,2.8377808901120587,1.146866993308599
last,2.04,-0.189718128449886,-0.1769652861572127,2.848921436236943,1.0822625458137956
last,2.05,-0.19138808527130463,-0.1570260781265118,2.8594988536239767,1.0341963870807944
last,2.06,-0.19286140274564692,-0.1376374167419282,2.86960975168971,0.9889150411031646
last,2.07,-0.19414173995437176,-0.11843002500303638,2.879290545848691,0.948136230918564
last,2.08,-0.1952313647826874,-0.09949494066007938,2.8885826614840573,0.9111433823319909
last,2.09,-0.1961316982053252,-0.08057174386747729,2.8975299095603133,0.8791313899148406
