category,run_id,algorithm,seed,training_filter,checkpoint_label,checkpoint_transitions,evaluation_filter,subset,episodes,successes,mean_hold_final,mean_hold_longest,hold_2s_count,top_reached_count,mean_first_hold_start,mean_return,exceeds_024_episodes,exceeds_024_resolved_episodes,position_limit_events,refusals,interventions,accepted_decisions,intervention_fraction,intervention_abs_sum,intervention_abs_max,max_abs_position_interval,source,source_sha256,verification
external,evaluate_train_SAC_on_seed0,SAC,0,on,last,100000,off,all,23,0,0.0,0.0,0,0,,-4.483956022473296,23,23,23,0,0,0,,0.0,0.0,0.25000000000000006,main-session/queue/jobs/evaluate_train_SAC_on_seed0/last_off/report.json,54edc7b78197e088d1a8fd6b812808851070706b6a7e9d83d3889a7486143ab1,raw_log_recomputed
external,evaluate_train_SAC_on_seed0,SAC,0,on,last,100000,on,validation,20,20,6.422,6.422,20,20,3.5780000000000003,770.117201263913,0,0,0,0,1027,20000,0.05135,5716.360525775254,7.984466075829352,0.23999899999999996,main-session/queue/jobs/evaluate_train_SAC_on_seed0/last_on/report.json,2f83c728037c842ba9dc2bb895faf7c3e1603c1b3902c17db5d697a86cefbf66,raw_log_recomputed
external,evaluate_train_SAC_on_seed0,SAC,0,on,last,100000,on,named,3,3,6.423333333333333,6.423333333333333,3,3,3.5766666666666667,770.396669264566,0,0,0,0,152,3000,0.050666666666666665,865.7441957041556,7.983899277850581,0.23999899999999993,main-session/queue/jobs/evaluate_train_SAC_on_seed0/last_on/report.json,2f83c728037c842ba9dc2bb895faf7c3e1603c1b3902c17db5d697a86cefbf66,raw_log_recomputed
external,evaluate_train_SAC_on_seed0,SAC,0,on,last,100000,on,all,23,23,6.422173913043479,6.422173913043479,23,23,3.577826086956522,770.1536536118243,0,0,0,0,1179,23000,0.051260869565217394,6582.10472147941,7.984466075829352,0.23999899999999996,main-session/queue/jobs/evaluate_train_SAC_on_seed0/last_on/report.json,2f83c728037c842ba9dc2bb895faf7c3e1603c1b3902c17db5d697a86cefbf66,raw_log_recomputed
periodic,train_SAC_on_seed1,SAC,1,on,t000000000_u000000000_3cb6928938,0,on,validation,20,0,0.0,0.0,0,0,,1.6067710518889775,0,0,0,0,1428,20000,0.0714,3892.303822575404,4.265165730266005,0.239999,main-session/queue/jobs/train_SAC_on_seed1/run/parallel_evaluations/t000000000_u000000000_3cb6928938/report.json,40192e6287d3d71a7d12184fa3ea244e18f17342a8cb47d7952f2b4de681ab57,raw_log_recomputed
periodic,train_SAC_on_seed1,SAC,1,on,t000000000_u000000000_3cb6928938,0,on,named,3,0,0.0,0.0,0,0,,1.7358569274902937,0,0,0,0,208,3000,0.06933333333333333,585.5411108934081,4.257624105620319,0.239999,main-session/queue/jobs/train_SAC_on_seed1/run/parallel_evaluations/t000000000_u000000000_3cb6928938/report.json,40192e6287d3d71a7d12184fa3ea244e18f17342a8cb47d7952f2b4de681ab57,raw_log_recomputed
periodic,train_SAC_on_seed1,SAC,1,on,t000000000_u000000000_3cb6928938,0,on,all,23,0,0.0,0.0,0,0,,1.6236083400108883,0,0,0,0,1636,23000,0.07113043478260869,4477.844933468812,4.265165730266005,0.239999,main-session/queue/jobs/train_SAC_on_seed1/run/parallel_evaluations/t000000000_u000000000_3cb6928938/report.json,40192e6287d3d71a7d12184fa3ea244e18f17342a8cb47d7952f2b4de681ab57,raw_log_recomputed
periodic,train_SAC_on_seed1,SAC,1,on,t000010000_u000009872_486906c6aa,10000,on,validation,20,0,0.0,0.0,0,20,,29.70171003702655,0,0,0,0,3295,20000,0.16475,12662.048488036007,6.574761820482324,0.239999,main-session/queue/jobs/train_SAC_on_seed1/run/parallel_evaluations/t000010000_u000009872_486906c6aa/report.json,bb199dcc6bcaaa2370ed9831b4710a45bb83eef85bc6a7b54d9aea6d18195775,raw_log_recomputed
periodic,train_SAC_on_seed1,SAC,1,on,t000010000_u000009872_486906c6aa,10000,on,named,3,0,0.0,0.0,0,3,,30.13608318033499,0,0,0,0,481,3000,0.16033333333333333,1863.3725511043594,6.570229761228386,0.23999899999999993,main-session/queue/jobs/train_SAC_on_seed1/run/parallel_evaluations/t000010000_u000009872_486906c6aa/report.json,bb199dcc6bcaaa2370ed9831b4710a45bb83eef85bc6a7b54d9aea6d18195775,raw_log_recomputed
periodic,train_SAC_on_seed1,SAC,1,on,t000010000_u000009872_486906c6aa,10000,on,all,23,0,0.0,0.0,0,23,,29.75836740354504,0,0,0,0,3776,23000,0.16417391304347825,14525.421039140367,6.574761820482324,0.239999,main-session/queue/jobs/train_SAC_on_seed1/run/parallel_evaluations/t000010000_u000009872_486906c6aa/report.json,bb199dcc6bcaaa2370ed9831b4710a45bb83eef85bc6a7b54d9aea6d18195775,raw_log_recomputed
periodic,train_SAC_on_seed1,SAC,1,on,t000020000_u000019872_0c3edc2b85,20000,on,validation,20,0,0.0,0.0,0,20,,36.41228956068082,0,0,0,0,496,20000,0.0248,410.51679449376604,4.806258678006161,0.23999899999999902,main-session/queue/jobs/train_SAC_on_seed1/run/parallel_evaluations/t000020000_u000019872_0c3edc2b85/report.json,6b9f1156f15accc234af5d3d929e26f7b789312ef98ace6cafc2a0787c8ef8cb,raw_log_recomputed
periodic,train_SAC_on_seed1,SAC,1,on,t000020000_u000019872_0c3edc2b85,20000,on,named,3,0,0.0,0.0,0,3,,36.62008619885856,0,0,0,0,75,3000,0.025,60.984714610941495,4.654560088668683,0.23999899999999863,main-session/queue/jobs/train_SAC_on_seed1/run/parallel_evaluations/t000020000_u000019872_0c3edc2b85/report.json,6b9f1156f15accc234af5d3d929e26f7b789312ef98ace6cafc2a0787c8ef8cb,raw_log_recomputed
periodic,train_SAC_on_seed1,SAC,1,on,t000020000_u000019872_0c3edc2b85,20000,on,all,23,0,0.0,0.0,0,23,,36.43939347000835,0,0,0,0,571,23000,0.024826086956521737,471.50150910470757,4.806258678006161,0.23999899999999902,main-session/queue/jobs/train_SAC_on_seed1/run/parallel_evaluations/t000020000_u000019872_0c3edc2b85/report.json,6b9f1156f15accc234af5d3d929e26f7b789312ef98ace6cafc2a0787c8ef8cb,raw_log_recomputed
periodic,train_SAC_on_seed1,SAC,1,on,t000030000_u000029872_d78c958e04,30000,on,validation,20,0,0.0,0.0,0,20,,30.22159531051139,0,0,0,0,2763,20000,0.13815,12343.514893543681,7.5947241709401,0.239999,main-session/queue/jobs/train_SAC_on_seed1/run/parallel_evaluations/t000030000_u000029872_d78c958e04/report.json,9658c01de1487e19d06138808c914cbc1229e360f473adb0ab65995d75349b38,raw_log_recomputed
periodic,train_SAC_on_seed1,SAC,1,on,t000030000_u000029872_d78c958e04,30000,on,named,3,0,0.0,0.0,0,3,,30.32356064995632,0,0,0,0,442,3000,0.14733333333333334,1867.0894021820336,7.60419368092324,0.239999,main-session/queue/jobs/train_SAC_on_seed1/run/parallel_evaluations/t000030000_u000029872_d78c958e04/report.json,9658c01de1487e19d06138808c914cbc1229e360f473adb0ab65995d75349b38,raw_log_recomputed
periodic,train_SAC_on_seed1,SAC,1,on,t000030000_u000029872_d78c958e04,30000,on,all,23,0,0.0,0.0,0,23,,30.234895137395508,0,0,0,0,3205,23000,0.13934782608695653,14210.604295725714,7.60419368092324,0.239999,main-session/queue/jobs/train_SAC_on_seed1/run/parallel_evaluations/t000030000_u000029872_d78c958e04/report.json,9658c01de1487e19d06138808c914cbc1229e360f473adb0ab65995d75349b38,raw_log_recomputed
